CATEGORY,LINK,TITLE,AUTHOR,DATE,PUBLISHED_IN_PRINT
Interviews,https://yalereview.org/article/elisa-gonzalez-interview,Elisa Gonzalez,Maggie Millner,"September 20, 2023",False
Interviews,https://yalereview.org/article/daniel-poppick-end-times,Daniel Poppick on End Times,Maggie Millner,"February 12, 2020",False
Interviews,https://yalereview.org/article/craig-fehrman-presidential-prose,Craig Fehrman on Presidential Prose,Andrew Heisel,"February 19, 2020",False
Interviews,https://yalereview.org/article/robyn-schiff-going-long,Robyn Schiff on Going Long,Maggie Millner,"March 3, 2020",False
Interviews,https://yalereview.org/article/aysegul-savas-being-edited,Aysegül Savas on Being Edited,Meghan O’Rourke,"April 13, 2020",False
Interviews,https://yalereview.org/article/dan-chiasson-poetry-reading-and-darkness-endless-summer,Dan Chiasson on the Poetry of Reading and the Darkness of Endless Summer,Maggie Millner,"September 18, 2020",False
TYR Talks,https://yalereview.org/article/james-merrills-letters-and-legacy,James Merrill's Letters and Legacy,,"May 21, 2021",False
Conversations,https://yalereview.org/article/game-is-life,Game Is Life,"Kaveh Akbar,","May 27, 2021",False
Conversations,https://yalereview.org/article/a-failed-book-club,A Failed Book Club,Elif Batuman,"June 14, 2021",False
Interviews,https://yalereview.org/article/-mei-mei-berssenbrugge-interview,The Poetry of Attention,Mei-mei Berssenbrugge,"June 21, 2021",False
Interviews,https://yalereview.org/article/aria-aber-poetry-exile,Aria Aber on the Poetry of Exile,Meghan O’Rourke,"February 4, 2020",False
Interviews,https://yalereview.org/article/olga-tokarczuk-interview,Olga Tokarczuk,Rhian Sasseen,"January 31, 2022",False
Interviews,https://yalereview.org/article/who-killed-big-government,Who Killed Big Government? A Historian's Surprising Take.,Paul Sabin,"November 1, 2021",False
Interviews,https://yalereview.org/article/forna-interview,Aminatta Forna,James Surowiecki,"April 1, 2022",False
Interviews,https://yalereview.org/article/jamel-brinkley-interview,Jamel Brinkley,Elliott Holt,"June 28, 2023",False
Interviews,https://yalereview.org/article/stacey-derasmo,Stacey D'Erasmo,Catherine Barnett,"November 7, 2022",False
Interviews,https://yalereview.org/article/ama-codjoe-interview,Ama Codjoe,Rachel Mannheimer,"October 19, 2022",False
Conversations,https://yalereview.org/article/hauntology-conversation,Raising the Dead,"Aricka Foreman,","July 11, 2022",False
Interviews,https://yalereview.org/article/jenny-xie-interview,Jenny Xie,Maggie Millner,"July 6, 2022",False
Interviews,https://yalereview.org/article/wayne-koestenbaum,Wayne Koestenbaum,Brandon Menke,"April 4, 2022",False
Interviews,https://yalereview.org/article/a-m-homes-interview,A.M. Homes,James Surowiecki,"October 3, 2022",False
Interviews,https://yalereview.org/article/theater-and-its-politics,Branden Jacobs-Jenkins on the Politics of Theater,Branden Jacobs-Jenkins,"September 20, 2021",True
Conversations,https://yalereview.org/article/lubrin-brand-interview-art-rope,Longer Than the Longest Rope,Canisia Lubrin,"December 1, 2021",True
Interviews,https://yalereview.org/article/raven-leilani-interview,Raven Leilani,Rizvana Bradley,"June 12, 2023",True
Interviews,https://yalereview.org/article/surowiecki-geoff-dyer,Geoff Dyer,James Surowiecki,"December 6, 2022",True
Interviews,https://yalereview.org/article/amy-herzog-and-brenda-shaughnessy-art-and-motherhood,Amy Herzog and Brenda Shaughnessy,Meghan O’Rourke,"April 1, 2020",True
Conversations,https://yalereview.org/article/michael-jackson-blain-cruz-interview,How the Pandemic Changed Theater,Michael R. Jackson,"December 1, 2021",True
Interviews,https://yalereview.org/article/cathy-park-hong-minor-feelings,Cathy Park Hong on Minor Feelings,Meghan O’Rourke,"June 1, 2020",True
Conversations,https://yalereview.org/article/dana-levin-scenters-zapico-interview,Natalie Scenters-Zapico and Dana Levin,Natalie Scenters-Zapico,"December 1, 2021",True
Conversations,https://yalereview.org/article/namwali-serpell-tumarkin-unethical-reading-and-limits-empathy,The Limits of Empathy,Namwali Serpell,"December 1, 2020",True
Interviews,https://yalereview.org/article/vivian-gornick-interview,Vivian Gornick,Meghan O’Rourke,"December 1, 2021",True
Conversations,https://yalereview.org/article/sarah-shun-lien-bynum-yiyun-li-merits-imperfection,The Merits of Imperfection,Sarah Shun-lien Bynum,"December 1, 2020",True
Conversations,https://yalereview.org/article/douglas-kearney-aleshea-harris-signal-and-noise,Signal and Noise,Aleshea Harris,"December 1, 2020",True
Conversations,https://yalereview.org/article/cathy-park-hong-alexander-chee-korean-literary-inheritance,Finding a Literary Inheritance,"Alexander Chee,","December 1, 2020",True
Conversations,https://yalereview.org/article/queer-sensibility-greenwell-hofmann-phillips,Three Queer Writers on Craft and Cruising,"Garth Greenwell,","February 28, 2022",True
Conversations,https://yalereview.org/article/spiotta-ogden-middle-age,Emily Ogden and Dana Spiotta,Emily Ogden,"September 1, 2022",True
Conversations,https://yalereview.org/article/nathan-alan-davis-koogler-interview,Nathan Alan Davis and Abe Koogler on Finding One’s Voice,Nathan Alan Davis,"December 1, 2021",True
Conversations,https://yalereview.org/article/renee-gladman-kate-briggs-interview,Renee Gladman and Kate Briggs Talk Translation and Form,Kate Briggs,"December 1, 2021",True
Conversations,https://yalereview.org/article/interviews-discipline-and-abolish,Discipline and Abolish,Rachel Kushner,"June 28, 2021",True
Interviews,https://yalereview.org/article/maggie-nelson-simone-white-sexual-taboos,Maggie Nelson and Simone White on Sexual Taboos,Simone White,"September 20, 2021",True
Conversations,https://yalereview.org/article/bhanu-kapil-jonah-mixon-webster-body-in-verse,The Body in Verse,Bhanu Kapil,"December 1, 2020",True
Interviews,https://yalereview.org/article/ben-lerner-writing-and-magic-pills,Ben Lerner on Writing and Magic Pills,Catherine Barnett,"January 1, 2020",True
