CATEGORY,LINK,TITLE,AUTHOR,DATE,PUBLISHED_IN_PRINT
Poem of the Week,https://yalereview.org/article/miruna-fulgeanu-helsingor-1,Helsingør,Miruna Fulgeanu,"October 4, 2023",False
Poem of the Week,https://yalereview.org/article/jeffrey-harrison-blue-shadows,Blue Shadows,Jeffrey Harrison,"May 25, 2022",False
Poem of the Week,https://yalereview.org/article/jim-moore-meanwhile,"Meanwhile,",Jim Moore,"May 4, 2022",False
Poem of the Week,https://yalereview.org/article/charles-baudelaire-port,The Port,Charles Baudelaire,"April 27, 2022",False
Poem of the Week,https://yalereview.org/article/jenny-xie-postmemory,Postmemory,Jenny Xie,"April 20, 2022",False
Poem of the Week,https://yalereview.org/article/oliver-delapaz-diaspora-sonnet,Diaspora Sonnet 65,Oliver de la Paz,"April 13, 2022",False
Poem of the Week,https://yalereview.org/article/katie-berta-valuing-sincerity,[Valuing sincerity most of all],Katie Berta,"March 30, 2022",False
Poem of the Week,https://yalereview.org/article/genya-turovskaya-nouns-unknown-vocalise,The Nouns Unknown (Vocalise),Genya Turovskaya,"March 23, 2022",False
Poem of the Week,https://yalereview.org/article/lynn-the-mothman-watches,(The Mothman Watches a TV Movie and Resolves to Steal the Declaration of Independence),Robert Wood Lynn,"March 21, 2022",False
Poem of the Week,https://yalereview.org/article/nadra-mabrouk-train-cairo,On the Train from Cairo to Alexandria,Nadra Mabrouk,"March 16, 2022",False
Pandemic Files,https://yalereview.org/article/ryan-black-poem,"From ""You Were Never Lovelier""",Ryan Black,"March 14, 2022",False
Pandemic Files,https://yalereview.org/article/fady-joudah-poem,The Mother Between Us,Fady Joudah,"March 14, 2022",False
Poem of the Week,https://yalereview.org/article/jose-hernandez-diaz-stranger,The Stranger,Jose Hernandez Diaz,"March 9, 2022",False
Poem of the Week,https://yalereview.org/article/marti-irving-surface-tension,Surface Tension,Marti Irving,"March 2, 2022",False
Poem of the Week,https://yalereview.org/article/robert-fernandez-in-conversation,in conversation,Robert Fernandez,"February 23, 2022",False
