CATEGORY,LINK,TITLE,AUTHOR,DATE,PUBLISHED_IN
Books,https://yalereview.org/article/maggie-doherty-more-than-magazines,"10 Ways Ms., Sassy, and Jezebel Changed Your Life!",Maggie Doherty,"September 18, 2023",See this issue
Books,https://yalereview.org/article/emily-greenwood-emily-wilson-the-iliad,How Emily Wilson Reimagined Homer,Emily Greenwood,"September 18, 2023",See this issue
The Moment,https://yalereview.org/article/becca-rothfeld-public-intellectuals,In the Shallows,Becca Rothfeld,"September 18, 2023",See this issue
Essays,https://yalereview.org/article/alec-pollak-lorraine-hansberry-queer-archive,Lorraine Hansberry’s Queer Archive,Alec Pollak,"September 18, 2023",See this issue
Books,https://yalereview.org/article/sanjena-sathian-choice-plot,The Choice Plot,Sanjena Sathian,"September 18, 2023",See this issue
Essays,https://yalereview.org/article/anna-hartford-unfathomable-life,Unfathomable Life,Anna Hartford,"September 18, 2023",See this issue
Television and Film,https://yalereview.org/article/daniel-w-drezner-service-servitude,Service or Servitude?,Daniel W. Drezner,"September 12, 2023",
Essays,https://yalereview.org/article/percival-everett-abstraction-nonsense,Abstraction and Nonsense,Percival Everett,"June 12, 2023",See this issue
Essays,https://yalereview.org/article/kamran-javadizadeh-ahead-time,Ahead of Time,Kamran Javadizadeh,"June 12, 2023",See this issue
Essays,https://yalereview.org/article/azareen-van-der-vliet-oloomi-baldwin-turkey,James Baldwin in Turkey,Azareen Van der Vliet Oloomi,"June 12, 2023",See this issue
Essays,https://yalereview.org/article/rachel-eisendrath-new-york-anabasis,New York Anabasis,Rachel Eisendrath,"June 12, 2023",See this issue
Essays,https://yalereview.org/article/thomas-dai-notes-on-affirmation,Notes on Affirmation,Thomas Dai,"June 12, 2023",See this issue
Books,https://yalereview.org/article/elleza-kelley-ordinary-allurements,Ordinary Allurements,Elleza Kelley,"June 12, 2023",See this issue
Books,https://yalereview.org/article/jennifer-ratner-rosenhagen-consolations-failure,The Consolations of Failure,Jennifer Ratner-Rosenhagen,"June 12, 2023",See this issue
Essays,https://yalereview.org/article/emily-bernard-this-part,This Part of Our Lives Is Over,Emily Bernard,"June 12, 2023",See this issue
Essays,https://yalereview.org/article/brandon-shimoda-dream-last-night,[I had a dream last night],Brandon Shimoda,"June 5, 2023",
Folio,https://yalereview.org/article/laura-dassow-walls-attention-economy,Beyond the Attention Economy,Laura Dassow Walls,"May 23, 2023",
Folio,https://yalereview.org/article/daegan-miller-sharpen-scythe,How to Sharpen a Scythe,Daegan Miller,"May 23, 2023",
Folio,https://yalereview.org/article/ana-schwartz-sublimation-self-possession,Sublimation and Self-Possession,Ana Schwartz,"May 23, 2023",
Folio,https://yalereview.org/article/caleb-smith-saunterers-club,The Saunterers’ Club,Caleb Smith,"May 23, 2023",
Essays,https://yalereview.org/article/kate-zambreno-winter-zoo,The Winter Zoo,Kate Zambreno,"May 8, 2023",
Essays,https://yalereview.org/article/idra-novey-the-novey-scrapyard,Monstrous Hybrids and the Conjuring of Legacy,Idra Novey,"April 5, 2023",
Ideas,https://yalereview.org/article/kathryn-lofton-cancel-culture,Cancel Culture and Other Myths,Kathryn Lofton,"March 27, 2023",See this issue
Portfolio,https://yalereview.org/article/hangama-amiri-portfolio,Home Isn't One Place,Hangama Amiri,"March 27, 2023",See this issue
Books,https://yalereview.org/article/daniel-poppick-nothing-is-a-memory,Nothing Is a Memory,Daniel Poppick,"March 27, 2023",See this issue
Essays,https://yalereview.org/article/roger-reeves-ode-to-babel,Ode to Babel,Roger Reeves,"March 27, 2023",See this issue
Books,https://yalereview.org/article/brian-dillon-journalist-photographer,The Journalist and the Photographer,Brian Dillon,"March 27, 2023",See this issue
Books,https://yalereview.org/article/terrance-hayes-joel-dias-porter,The Renegade Poetic Fortune-Telling Machine,Terrance Hayes,"March 27, 2023",See this issue
The Moment,https://yalereview.org/article/jordan-kisner-on-being-hit,Throwing Punches in a Dive Bar,Jordan Kisner,"March 27, 2023",See this issue
